"Source:","K:\Personal\Steve\KiCadProjects\CLCD\CLCD-VDC.kicad_sch"
"Date:","2022-07-02 11:38:55 AM"
"Tool:","Eeschema (6.0.2)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","100"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C3, C4, ","4","22pF","C-superpet-rescue","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","",""
"C5, C6, C7, C8, ","4","1uF","C_Polarized_US","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","Polarized capacitor, US symbol",""
"C9, C10, C11, C12, C13, C14, C15, C16, C17, C20, C21, C22, C23, C27, ","14","0.1","C_Small","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","Unpolarized capacitor, small symbol",""
"C18, ","1","C_Polarized","C_Polarized","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm","Polarized capacitor",""
"C28, ","1","0.01uf *","C_Small","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","Unpolarized capacitor, small symbol",""
"CN1, ","1","SERIAL_BUS_CON","SERIAL_BUS_CON","KU-14194HB-RevB-KiCad:SERIAL_CON_DIN6","",""
"J1, ","1","JTAG","Conn_02x05_Odd_Even-superpet-rescue","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","",""
"J2, J3, J4, J6, ","4","Conn_01x08","Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J5, ","1","IDC Header","Conn_02x13_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x13_P2.54mm_Vertical","Generic connector, double row, 02x13, counter clockwise pin numbering scheme (similar to DIP packge numbering), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J7, ","1","DB25_Male_MountingHoles","DB25_Male_MountingHoles","Connector_Dsub:DSUB-25_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm","25-pin male D-SUB connector, Mounting Hole",""
"J8, ","1","VDC_FONTOPT","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J9, ","1","Centronics Header","Conn_01x12","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","Generic connector, single row, 01x12, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J10, J26, ","2","POWER","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J11, ","1","IEC Header","Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J12, ","1","Barrel_Jack_Switch","Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Horizontal","DC Barrel Jack with an internal switch",""
"J13, ","1","CS_Header","Conn_01x07","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","Generic connector, single row, 01x07, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J14, ","1","Barcode Header","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J15, ","1","PIEZO ENABLE","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J16, ","1","TTL SERIAL","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J17, ","1","DB9_Male_MountingHoles","DB9_Male_MountingHoles-superpet-rescue","Connector_Dsub:DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm","",""
